dataset_id,handle,siteid,sitename,long,lat,altitude,depositionalenvironment,region,country,harmonisation_region,n_sample_counts,age_min,age_max,n_chron_control,age_type,curve_name,postbomb_curve_name,end_of_interest_period,source_of_data,data_publicity,doi
48962,BEUF,27339,La Beuffarde,6.42306,46.82361,NA,Bog,Europe,France,Europe,54,-40,3084,6,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/TD3H-K357
48964,TROUTMW,27340,Trout Meadow,-118.4277,36.19123,NA,Palustrine,North America,United States,North America,27,-63,1251,9,Calibrated radiocarbon years BP,intcal20,nh_zone_2,20000,Neotoma,open,10.21233/SYJT-DJ16
48966,UDD,13428,Uddelermeer,5.75969,52.24479,NA,Natural Lake,Europe,Netherlands,Europe,110,-33,12346,22,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/ZV8K-Z481
48968,BRUGEROU,27341,Brugeroux,2.84889,45.14722,NA,Raised Bog,Europe,France,Europe,74,7313.5,14403,6,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/WBXY-VB66
48976,NOIR01,3319,Lac Noir,2.62278,45.45194,NA,Raised Bog,Europe,France,Europe,190,92,10566.5,6,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/40CB-0D16
48982,PRARION3,3527,Plateau de Prarion,6.74944,45.88472,NA,Marsh,Europe,France,Europe,44,359,11032,5,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/R9WP-Q767
49082,WINDY,27357,Windy Lake,-117.87929,49.81208,NA,Cirque Lake,North America,Canada,North America,48,-2,11911.5,8,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/7115-RT88
49090,ACH4,27361,Sheepfold,-5.04136,57.90853,NA,Mire,Europe,United Kingdom,Europe,11,6637.5,8648,6,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/TQRB-NE12
49092,ACH5,27362,West Achall Mire,-5.116,57.91217,NA,Mire,Europe,United Kingdom,Europe,18,6466,9733.5,7,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/HPHS-8B42
49096,ACH7,27364,Below Doir' a'Ghleannain,-5.03183,57.90353,NA,Mire,Europe,United Kingdom,Europe,10,3548.5,8502,6,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/TWWX-A357
